Product,Issue,State,ZIP code,Submitted via,Date received,Company,Company response,Timely response?,Consumer disputed?
Credit card,Other fee,IN,47906,Web,2/20/13,Fifth Third Bank,Closed with explanation,Yes,No
Credit card,Billing disputes,IN,47532,Referral,2/1/13,Fifth Third Bank,Closed with explanation,Yes,Yes
Credit card,Credit line increase/decrease,IN,46201,Web,10/8/12,Fifth Third Bank,Closed with explanation,Yes,Yes
Credit card,Closing/Cancelling account,IN,46236,Web,9/13/12,Fifth Third Bank,Closed with explanation,Yes,No
Credit card,Identity theft / Fraud / Embezzlement,IN,46065,Referral,8/9/12,Fifth Third Bank,Closed with non-monetary relief,Yes,No
Credit card,Billing disputes,IN,46806,Phone,7/23/12,Fifth Third Bank,Closed with explanation,Yes,No
Credit card,Credit reporting,IN,46077,Web,3/26/12,Fifth Third Bank,Closed without relief,Yes,No
Credit card,Other fee,IN,47712,Phone,3/21/12,Fifth Third Bank,Closed without relief,Yes,No
Credit card,Identity theft / Fraud / Embezzlement,IN,46237,Web,1/2/12,Fifth Third Bank,Closed without relief,Yes,No
Credit card,Credit card protection / Debt protection,IN,46322,Phone,8/8/13,First National Bank of Omaha,Closed with explanation,Yes,No
Credit card,Forbearance / Workout plans,IN,47433,Web,4/10/13,First National Bank of Omaha,Closed with explanation,Yes,No
Credit card,Billing disputes,IN,46251,Web,11/10/12,First National Bank of Omaha,Closed with explanation,Yes,Yes
Credit card,Payoff process,IN,47730,Referral,10/11/12,First National Bank of Omaha,Closed with explanation,Yes,No
Credit card,Credit reporting,IN,46077,Web,3/26/12,First National Bank of Omaha,Closed with relief,Yes,No
Credit card,Billing disputes,IN,46206,Phone,9/9/14,GE Capital Retail,Closed with monetary relief,Yes,
Credit card,Identity theft / Fraud / Embezzlement,IN,46163,Web,8/22/14,GE Capital Retail,Closed with non-monetary relief,Yes,
Credit card,Unsolicited issuance of credit card,IN,46205,Web,8/21/14,GE Capital Retail,Closed with explanation,Yes,
Credit card,Late fee,IN,46201,Web,8/18/14,GE Capital Retail,Closed with monetary relief,Yes,
Credit card,Late fee,IN,47906,Referral,8/5/14,GE Capital Retail,Closed with monetary relief,Yes,
Credit card,Identity theft / Fraud / Embezzlement,IN,46123,Web,7/21/14,GE Capital Retail,Closed with monetary relief,Yes,No
Credit card,Credit line increase/decrease,IN,46203,Web,7/15/14,GE Capital Retail,Closed with explanation,Yes,No
Credit card,Credit determination,IN,46815,Postal mail,6/30/14,GE Capital Retail,Closed with explanation,Yes,No
Credit card,Closing/Cancelling account,IN,37307,Postal mail,6/18/14,GE Capital Retail,Closed with explanation,Yes,No
Credit card,Customer service / Customer relations,IN,46214,Web,5/29/14,GE Capital Retail,Closed with non-monetary relief,Yes,No
Credit card,APR or interest rate,IN,46107,Web,5/16/14,GE Capital Retail,Closed with monetary relief,Yes,Yes
Credit card,Late fee,IN,46234,Web,5/15/14,GE Capital Retail,Closed with monetary relief,Yes,No
Credit card,Billing disputes,IN,47715,Web,4/22/14,GE Capital Retail,Closed with non-monetary relief,Yes,No
